CMS,17669
OMC,17641
CCL,17609
ATO,17545
EXPD,17477
WAT,17455
ILMN,17375
RF,17309
SYF,17303
BAX,17280
LUV,17218
CLX,17133
SWKS,17055
EQT,17032
ZM,16945
HRL,16855
NTRS,16793
HOLX,16670
L,16652
PKG,16616
UAL,16559
ENPH,16440
ERIE,16417
MDB,16406
TXT,16385
NRG,16376
JBHT,16306
MAA,16281
VAR,16262
BMRN,16144
ATH,16011
TIF,15961
IP,15758
EXPE,15750
CFG,15698
ZBRA,15549
FDS,15503
NWS,15420
NWSA,15420
MRO,15409
OC,15352
MAS,15311
DGX,15222
CE,15220
SSNC,15168
IEX,15161
FOX,15040
FOXA,15040
JBL,15012
CREE,14965
BURL,14896
GEN,14833
AVTR,14672
BG,14581
PKI,14456
RPM,14452
OKTA,14450
SUI,14446
AMCR,14396
MANH,14330
SNA,14141
INCY,14076
CASY,13967
PODD,13896
UHS,13850
TRU,13850
CAG,13720
AGR,13662
DOC,13625
CELH,13617
NBIX,13615
TRMB,13607
AKAM,13573
NTRA,13560
WMS,13553
GGG,13551
CF,13530
NTNX,13472
RGA,13415
CPB,13408
AES,13389
THC,13371
FNF,13367
NDSN,13290
UDR,13284
BLD,13178
UTHR,13176
POOL,13154
USFD,13119
WBA,13070
DKS,13069
AMH,13026
EQH,13020
NVT,13019
SWK,12981
IBKR,12967
PNR,12953
WRK,12905
CXO,12878
KEY,12785
AOS,12784
LNT,12734
SC,12734
FND,12680
MGM,12670
HST,12663
KIM,12592
LW,12578
NI,12553
AZPN,12425
RL,12399
DVA,12387
MORN,12360
TOL,12356
MEDP,12268
WING,12229
XPO,12208
CLH,12195
WPC,12136
EVRG,12099
ALLY,12083
TW,12081
ACM,12046
JKHY,12031
UHAL,12022
SJM,11911
SAIA,11894
BJ,11883
BKI,11876
GLPI,11854
CNA,11848
ALB,11827
RNR,11800
TECH,11789
SNX,11700
EMN,11678
BEN,11658
ELS,11632
CPT,11559
JNPR,11537
FIX,11497
VER,11491
TXRH,11463
ESTC,11427
Y,11407
REG,11351
LSI,11325
KMX,11282
COHR,11279
PSN,11273
WWD,11238
GWRE,11222
IPG,11164
TTEK,11109
CHK,11091
SRPT,11043
ELF,10931
QRVO,10921
LKQ,10868
CRL,10736
Z,10695
ZG,10695
PFGC,10690
SCI,10635
ITT,10570
LECO,10497
FTI,10494
AFG,10483
DOCU,10447
CW,10374
APA,10371
HRC,10301
CHDN,10280
SIRI,10194
ALLE,10163
AR,10117
EPAM,10108
NLSN,10068
NLY,10064
TAP,10054
CHRW,10047
LAMR,10042
TTC,9993
CTLT,9992
MUSA,9955
WYNN,9950
CUBE,9915
JLL,9876
PAG,9865
EWBC,9844
OLED,9831
FFIV,9829
REXR,9819
GPS,9752
ATR,9696
CROX,9693
TFX,9692
BXP,9651
SKX,9644
TPR,9632
ZEN,9626
INSM,9615
CACI,9594
PLAN,9593
HII,9544
JEF,9533
ANF,9500
BRKR,9425
CCK,9418
UNM,9320
TWLO,9163
MKSI,9132
ACC,9125
ALV,9120
STOR,9105
TREX,9099
KNSL,9072
AMKR,9013
ELAN,9009
